flower_id,name_ko,name_en,scientific_name,is_main_candidate,focal,filler,line,foliage,airy,color_palette_primary,color_palette_alt,warm_cool,saturation,color_direction,bloom_size_cm,stem_length_cm,price_tier,vase_life_days,season_peak,availability_level,scent_strength,toxicity_pets,symbolism,mood_fit,occasions_fit,image_ref,priority,reason
89,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,블루,불가능한 사랑,,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_블루.jpg,보조,거베라의 보조 색상 블루 누락
90,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,오렌지,"열정, 에너지",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_오렌지.jpg,보조,거베라의 보조 색상 오렌지 누락
91,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,크림핑크,"로맨틱한 사랑, 우아함",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_크림핑크.jpg,보조,거베라의 보조 색상 크림핑크 누락
88,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,퍼플,"신비, 로맨스",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_퍼플.jpg,보조,거베라의 보조 색상 퍼플 누락
81,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,블루,불가능한 사랑,,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_블루.jpg,보조,작약의 보조 색상 블루 누락
82,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,오렌지,"열정, 에너지",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_오렌지.jpg,보조,작약의 보조 색상 오렌지 누락
83,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,크림핑크,"로맨틱한 사랑, 우아함",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_크림핑크.jpg,보조,작약의 보조 색상 크림핑크 누락
80,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,퍼플,"신비, 로맨스",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_퍼플.jpg,보조,작약의 보조 색상 퍼플 누락
78,장미,Rose,Rosa hybrida,1,1,0,0,0,0,크림핑크,"로맨틱한 사랑, 우아함",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_크림핑크.jpg,보조,장미의 보조 색상 크림핑크 누락
92,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,블루,불가능한 사랑,,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_블루.jpg,보조,튤립의 보조 색상 블루 누락
93,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,오렌지,"열정, 에너지",,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_오렌지.jpg,보조,튤립의 보조 색상 오렌지 누락
94,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,크림핑크,"로맨틱한 사랑, 우아함",,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_크림핑크.jpg,보조,튤립의 보조 색상 크림핑크 누락
84,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,레드,"진정한 사랑, 열정",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_레드.jpg,핵심,거베라의 핵심 색상 레드 누락
87,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,옐로우,"기쁨, 행복",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_옐로우.jpg,핵심,거베라의 핵심 색상 옐로우 누락
85,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,핑크,"사랑, 감사",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_핑크.jpg,핵심,거베라의 핵심 색상 핑크 누락
86,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,화이트,"순결, 진심",,,,,,중급,,"봄, 여름",,,,"순수, 기쁨, 행복, 긍정적 에너지","밝은, 경쾌한, 활기찬, 모던한","축하, 생일, 취업, 승진, 감사",Gerbera Daisy_화이트.jpg,핵심,거베라의 핵심 색상 화이트 누락
79,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,옐로우,"기쁨, 행복",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_옐로우.jpg,핵심,작약의 핵심 색상 옐로우 누락
